id;nome;siglaPartido;siglaUf;urlFoto
220693;Roberta Roma;PL;BA;https://www.camara.leg.br/internet/deputado/bandep/220693.jpg
220588;Roberto Duarte;REPUBLICANOS;AC;https://www.camara.leg.br/internet/deputado/bandep/220588.jpg
220613;Roberto Monteiro Pai;PL;RJ;https://www.camara.leg.br/internet/deputado/bandep/220613.jpg
220624;Robinson Faria;PP;RN;https://www.camara.leg.br/internet/deputado/bandep/220624.jpg
220546;Rodolfo Nogueira;PL;MS;https://www.camara.leg.br/internet/deputado/bandep/220546.jpg
230767;Rodrigo da Zaeli;PL;MT;https://www.camara.leg.br/internet/deputado/bandep/230767.jpg
141531;Rodrigo de Castro;UNIÃO;MG;https://www.camara.leg.br/internet/deputado/bandep/141531.jpg
220641;Rodrigo Gambale;PODE;SP;https://www.camara.leg.br/internet/deputado/bandep/220641.jpg
141533;Rodrigo Rollemberg;PSB;DF;https://www.camara.leg.br/internet/deputado/bandep/141533.jpg
165470;Rodrigo Valadares;PL;SE;https://www.camara.leg.br/internet/deputado/bandep/165470.jpg
220695;Rogéria Santos;REPUBLICANOS;BA;https://www.camara.leg.br/internet/deputado/bandep/220695.jpg
204480;Rogério Correia;PT;MG;https://www.camara.leg.br/internet/deputado/bandep/204480.jpg
160629;Romero Rodrigues;PODE;PB;https://www.camara.leg.br/internet/deputado/bandep/160629.jpg
204525;Rosana Valle;PL;SP;https://www.camara.leg.br/internet/deputado/bandep/204525.jpg
178945;Rosangela Gomes;REPUBLICANOS;RJ;https://www.camara.leg.br/internet/deputado/bandep/178945.jpg
220644;Rosangela Moro;PL;SP;https://www.camara.leg.br/internet/deputado/bandep/220644.jpg
220620;Rosângela Reis;PL;MG;https://www.camara.leg.br/internet/deputado/bandep/220620.jpg
74371;Rubens Otoni;PT;GO;https://www.camara.leg.br/internet/deputado/bandep/74371.jpg
178887;Rubens Pereira Júnior;PT;MA;https://www.camara.leg.br/internet/deputado/bandep/178887.jpg
73604;Rui Falcão;PT;SP;https://www.camara.leg.br/internet/deputado/bandep/73604.jpg
160635;Ruy Carneiro;PODE;PB;https://www.camara.leg.br/internet/deputado/bandep/160635.jpg
204535;Sâmia Bomfim;PSOL;SP;https://www.camara.leg.br/internet/deputado/bandep/204535.jpg
220631;Samuel Viana;UNIÃO;MG;https://www.camara.leg.br/internet/deputado/bandep/220631.jpg
204416;Sanderson;PL;RS;https://www.camara.leg.br/internet/deputado/bandep/204416.jpg
160621;Sandro Alex;PSD;PR;https://www.camara.leg.br/internet/deputado/bandep/160621.jpg
236518;Santin Roveda;UNIÃO;PR;https://www.camara.leg.br/internet/deputado/bandep/236518.jpg
204387;Sargento Fahur;PL;PR;https://www.camara.leg.br/internet/deputado/bandep/204387.jpg
220621;Sargento Gonçalves;PL;RN;https://www.camara.leg.br/internet/deputado/bandep/220621.jpg
220618;Sargento Portugal;PODE;RJ;https://www.camara.leg.br/internet/deputado/bandep/220618.jpg
220713;Saullo Vianna;MDB;AM;https://www.camara.leg.br/internet/deputado/bandep/220713.jpg
226837;Saulo Pedroso;PSD;SP;https://www.camara.leg.br/internet/deputado/bandep/226837.jpg
73808;Sérgio Brito;PSD;BA;https://www.camara.leg.br/internet/deputado/bandep/73808.jpg
178933;Sergio Souza;MDB;PR;https://www.camara.leg.br/internet/deputado/bandep/178933.jpg
235776;Sérgio Turra;PP;RS;https://www.camara.leg.br/internet/deputado/bandep/235776.jpg
204557;Sidney Leite;PSD;AM;https://www.camara.leg.br/internet/deputado/bandep/204557.jpg
204360;Silvia Cristina;PP;RO;https://www.camara.leg.br/internet/deputado/bandep/204360.jpg
204425;Silvio Costa Filho;REPUBLICANOS;PE;https://www.camara.leg.br/internet/deputado/bandep/204425.jpg
220569;Silvye Alves;UNIÃO;GO;https://www.camara.leg.br/internet/deputado/bandep/220569.jpg
220651;Simone Marquetto;PP;SP;https://www.camara.leg.br/internet/deputado/bandep/220651.jpg
104552;Socorro Neri;PP;AC;https://www.camara.leg.br/internet/deputado/bandep/104552.jpg
220643;Sônia Guajajara;PSOL;SP;https://www.camara.leg.br/internet/deputado/bandep/220643.jpg
178946;Soraya Santos;PL;RJ;https://www.camara.leg.br/internet/deputado/bandep/178946.jpg
178947;Sóstenes Cavalcante;PL;RJ;https://www.camara.leg.br/internet/deputado/bandep/178947.jpg
92776;Stefano Aguiar;PSD;MG;https://www.camara.leg.br/internet/deputado/bandep/92776.jpg
204534;Tabata Amaral;PSB;SP;https://www.camara.leg.br/internet/deputado/bandep/204534.jpg
220682;Tadeu Veneri;PT;PR;https://www.camara.leg.br/internet/deputado/bandep/220682.jpg
204464;Talíria Petrone;PSOL;RJ;https://www.camara.leg.br/internet/deputado/bandep/204464.jpg
220598;Tarcísio Motta;PSOL;RJ;https://www.camara.leg.br/internet/deputado/bandep/220598.jpg
220560;Thiago de Joaldo;REPUBLICANOS;SE;https://www.camara.leg.br/internet/deputado/bandep/220560.jpg
220597;Thiago Flores;UNIÃO;RO;https://www.camara.leg.br/internet/deputado/bandep/220597.jpg
143084;Tiago Dimas;PODE;TO;https://www.camara.leg.br/internet/deputado/bandep/143084.jpg
220684;Tião Medeiros;PP;PR;https://www.camara.leg.br/internet/deputado/bandep/220684.jpg
160976;Tiririca;PSD;SP;https://www.camara.leg.br/internet/deputado/bandep/160976.jpg
178934;Toninho Wandscheer;PP;PR;https://www.camara.leg.br/internet/deputado/bandep/178934.jpg
157130;Túlio Gadêlha;PSD;PE;https://www.camara.leg.br/internet/deputado/bandep/157130.jpg
236423;Valdir Trindade;REPUBLICANOS;PB;https://www.camara.leg.br/internet/deputado/bandep/236423.jpg
160610;Valmir Assunção;PT;BA;https://www.camara.leg.br/internet/deputado/bandep/160610.jpg
74376;Vander Loubet;PT;MS;https://www.camara.leg.br/internet/deputado/bandep/74376.jpg
235712;Vavá;AVANTE;MG;https://www.camara.leg.br/internet/deputado/bandep/235712.jpg
204396;Vermelho;PL;PR;https://www.camara.leg.br/internet/deputado/bandep/204396.jpg
137070;Vicentinho Júnior;PSDB;TO;https://www.camara.leg.br/internet/deputado/bandep/137070.jpg
141555;Vinicius Carvalho;PL;SP;https://www.camara.leg.br/internet/deputado/bandep/141555.jpg
160591;Vinicius Gurgel;PL;AP;https://www.camara.leg.br/internet/deputado/bandep/160591.jpg
178992;Vitor Lippi;PSD;SP;https://www.camara.leg.br/internet/deputado/bandep/178992.jpg
91228;Waldemar Oliveira;AVANTE;PE;https://www.camara.leg.br/internet/deputado/bandep/91228.jpg
160569;Waldenor Pereira;PT;BA;https://www.camara.leg.br/internet/deputado/bandep/160569.jpg
160518;Weliton Prado;PSD;MG;https://www.camara.leg.br/internet/deputado/bandep/160518.jpg
74043;Wellington Roberto;PSD;PB;https://www.camara.leg.br/internet/deputado/bandep/74043.jpg
224333;Welter;PT;PR;https://www.camara.leg.br/internet/deputado/bandep/224333.jpg
220564;Yandra Moura;UNIÃO;SE;https://www.camara.leg.br/internet/deputado/bandep/220564.jpg
220660;Yury do Paredão;MDB;CE;https://www.camara.leg.br/internet/deputado/bandep/220660.jpg
230768;Zé Adriano;PP;AC;https://www.camara.leg.br/internet/deputado/bandep/230768.jpg
220536;Zé Haroldo Cathedral;UNIÃO;RR;https://www.camara.leg.br/internet/deputado/bandep/220536.jpg
204559;Zé Neto;PT;BA;https://www.camara.leg.br/internet/deputado/bandep/204559.jpg
160632;Zé Silva;UNIÃO;MG;https://www.camara.leg.br/internet/deputado/bandep/160632.jpg
220558;Zé Trovão;PL;SC;https://www.camara.leg.br/internet/deputado/bandep/220558.jpg
204517;Zé Vitor;PL;MG;https://www.camara.leg.br/internet/deputado/bandep/204517.jpg
160592;Zeca Dirceu;PT;PR;https://www.camara.leg.br/internet/deputado/bandep/160592.jpg
220592;Zezinho Barbary;PP;AC;https://www.camara.leg.br/internet/deputado/bandep/220592.jpg
220552;Zucco;PL;RS;https://www.camara.leg.br/internet/deputado/bandep/220552.jpg
